id,address,incident_date,city,zipcode,battalion,station_area,action_taken_primary,property_use,ignition_cause,neighborhood_district,point
80282670,240 Jones St.,2008-04-01 0:00:00,SF,94105,B03,1,71 - Assist physically disabled,"400 - Residential, other",,Tenderloin,POINT (-122.412406 37.783406)
80282640,1960 - 1980 Grant Av.,2008-04-01 0:00:00,SF,94133,B01,28,86 - Investigate,"400 - Residential, other",,North Beach,POINT (-122.408373 37.804982)
80282650,2557 Alemany Bl.,2008-04-01 0:00:00,SF,94112,B09,33,71 - Assist physically disabled,131 - Church/mosque/synagogue/temple/chapel,,Outer Mission,POINT (-122.4466 37.714871)
80282810,641edinburgh St,2008-04-01 0:00:00,SF,94112,B09,43,45 - Remove hazard,419 - 1 or 2 family dwelling,,Excelsior,POINT (-122.4337769 37.71934586)
80282750,190 Coleridge St.,2008-04-01 0:00:00,SF,94110,B06,11,"22 - Rescue, remove from harm","400 - Residential, other",,Bernal Heights,POINT (-122.420358 37.742874)
80282880,Turk St. / Hyde St.,2008-04-01 0:00:00,SF,94109,B02,3,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.415695 37.782585)
80283000,Alemany Bl. / Theresa St.,2008-04-01 0:00:00,SF,94110,B09,15,31 - Provide first aid & check for injuries,961 - Highway or divided highway (Street),,Outer Mission,POINT (-122.43448 37.728732)
80288940,355 Serrano Dr.,2008-04-03 0:00:00,SF,94121,B08,19,"40 - Hazardous condition, other",419 - 1 or 2 family dwelling,,Lakeshore,POINT (-122.480546 37.718962)
80289080,121 Steuart St.,2008-04-03 0:00:00,SF,94105,B03,35,86 - Investigate,599 - Business office,,Financial District/South Beach,POINT (-122.392775 37.793)
80289180,North Point St. / Grant Av.,2008-04-03 0:00:00,SF,94133,B01,28,31 - Provide first aid & check for injuries,"960 - Street, other",,North Beach,POINT (-122.408899 37.807162)
80289200,22nd St. / Mission St.,2008-04-03 0:00:00,SF,94110,B06,7,86 - Investigate,"160 - Eating, drinking places",,Mission,POINT (-122.418749 37.755437)
80288290,405 Serrano Dr.,2008-04-03 0:00:00,SF,94132,B08,19,86 - Investigate,429 - Multifamily dwellings,,Lakeshore,POINT (-122.481573 37.718991)
80288390,15th St. / Mission St.,2008-04-03 0:00:00,SF,94102,B02,36,86 - Investigate,"960 - Street, other",,Mission,POINT (-122.419827 37.766673)
80288280,1 101nb 7th St Of,2008-04-03 0:00:00,SF,94105,B03,8,"30 - Emergency medical services, other",961 - Highway or divided highway (Street),,South of Market,POINT (-122.406561 37.773092)
80289120,982 Market St.,2008-04-03 0:00:00,SF,94109,B03,1,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.41034 37.782689)
80289130,18th St. / Mission St.,2008-04-03 0:00:00,SF,94110,B02,7,"30 - Emergency medical services, other",174 - Rapid transit station,,Mission,POINT (-122.41936 37.761836)
80289000,100 Walnut St.,2008-04-03 0:00:00,SF,94118,B04,10,86 - Investigate,419 - 1 or 2 family dwelling,,Presidio Heights,POINT (-122.44890227 37.79045885)
80288520,Mason St. / Market St.,2008-04-03 0:00:00,SF,94109,B03,1,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.408203 37.783962)
80288430,200 Santa Rosa Av.,2008-04-03 0:00:00,SF,94112,B09,15,"60 - Systems and services, other","962 - Residential street, road or residential dr",,Outer Mission,POINT (-122.4400469 37.72898139)
80288470,Vallejo St. / Sansome St.,2008-04-03 0:00:00,SF,94111,B01,13,"10 - Fire, other","962 - Residential street, road or residential dr",2 - Unintentional,North Beach,POINT (-122.402423 37.799383)
80289260,18th St. / Mission St.,2008-04-03 0:00:00,SF,94110,B02,7,86 - Investigate,"400 - Residential, other",,Mission,POINT (-122.41936 37.761836)
80288820,24th St. / Castro St.,2008-04-03 0:00:00,SF,94131,B06,24,"00 - Action taken, other","000 - Property Use, other",,Noe Valley,POINT (-122.434089 37.751305)
80288630,Montgomery St. / Filbert St.,2008-04-03 0:00:00,SF,94133,B01,28,86 - Investigate,"960 - Street, other",,North Beach,POINT (-122.404611 37.80196)
80288570,2014 22nd Av.,2008-04-03 0:00:00,SF,94122,B08,40,86 - Investigate,"962 - Residential street, road or residential dr",,Sunset/Parkside,POINT (-122.479318 37.750057)
80285640,1600 Holloway Av.,2008-04-02 0:00:00,SF,94102,B08,19,33 - Provide advanced life support (ALS),"960 - Street, other",,Lakeshore,POINT (-122.483602 37.722997)
80285740,1 Sf Intl Airport,2008-04-02 0:00:00,SFO,94128,B09,A1,86 - Investigate,171 - Airport passenger terminal,,Bayview Hunters Point,POINT (-122.38416 37.616901)
80285880,Fillmore St. / Geary Bl.,2008-04-02 0:00:00,SF,94115,B04,5,47 - Decontaminate occupancy or area,963 - Street or road in commercial area,,Western Addition,POINT (-122.432914 37.784353)
80285770,610 Polk St.,2008-04-02 0:00:00,SF,94102,B02,3,63 - Restore fire alarm system,429 - Multifamily dwellings,,Tenderloin,POINT (-122.41894 37.782329)
30001930,Keith St. / Newcomb Av.,2003-01-01 0:00:00,SF,94124,B10,17,86 - Investigate,"962 - Residential street, road or residential dr",,Bayview Hunters Point,POINT (-122.386047 37.73318184257748)
30001970,132 Brookdale Av.,2003-01-01 0:00:00,SF,94124,B09,43,71 - Assist physically disabled,429 - Multifamily dwellings,,McLaren Park,POINT (-122.421516 37.712267)
30004290,2941 23rd Av.,2003-01-01 0:00:00,SF,94122,B08,19,86 - Investigate,419 - 1 or 2 family dwelling,,Sunset/Parkside,POINT (-122.479399 37.733715)
30001800,300 20th St.,2003-01-01 0:00:00,SF,94110,B10,25,86 - Investigate,963 - Street or road in commercial area,,Potrero Hill,POINT (-122.384719 37.760774)
30001840,Hyde St. / Turk St.,2003-01-01 0:00:00,SF,94109,B02,3,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.415695 37.782149)
30069080,Lakeview Av. / Plymouth Av.,2003-01-24 0:00:00,SF,94112,B09,33,86 - Investigate,"962 - Residential street, road or residential dr",,Oceanview/Merced/Ingleside,POINT (-122.456107 37.718236)
30069140,Bacon St. / San Bruno Av.,2003-01-24 0:00:00,SF,94124,B10,42,86 - Investigate,"960 - Street, other",,Portola,POINT (-122.403595 37.727634)
30071510,Grant Av. / Jackson St.,2003-01-25 0:00:00,SF,94109,B01,2,86 - Investigate,"960 - Street, other",,Chinatown,POINT (-122.406657 37.796024)
30071600,15th St. / Potrero Av.,2003-01-25 0:00:00,SF,94107,B02,29,"60 - Systems and services, other","960 - Street, other",,Mission,POINT (-122.407686 37.767083)
30071670,567 Golden Gate Av.,2003-01-25 0:00:00,SF,94102,B02,36,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.419865 37.781033)
30071690,3991 17th St.,2003-01-25 0:00:00,SF,94114,B05,6,86 - Investigate,161 - Restaurant or cafeteria,,Castro/Upper Market,POINT (-122.435048 37.762484)
30077190,5th St. / Mission St.,2003-01-27 0:00:00,SF,94104,B03,1,86 - Investigate,963 - Street or road in commercial area,,South of Market,POINT (-122.406481 37.782731)
30077200,1978 30th Av.,2003-01-27 0:00:00,SF,94122,B08,18,11 - Extinguish,"400 - Residential, other",2 - Unintentional,Sunset/Parkside,POINT (-122.487942 37.750413)
30077210,3118 Pierce St.,2003-01-27 0:00:00,SF,94123,B04,16,52 - Forcible entry,419 - 1 or 2 family dwelling,,Marina,POINT (-122.4389506 37.79886408)
30077220,810 Silver Av.,2003-01-27 0:00:00,SF,94124,B09,42,86 - Investigate,"213 - Elem. school, inc. kindergarten",,Excelsior,POINT (-122.419237 37.72899)
30077240,1635 Mason St.,2003-01-27 0:00:00,SF,94109,B01,2,11 - Extinguish,419 - 1 or 2 family dwelling,2 - Unintentional,Nob Hill,POINT (-122.41258388 37.79857983)
